De la ,La,I,II,III,N,V,VI,VII,VIII,IX,X,XI,XII
0,10,0.25,0.4,0.6,1,1.6,2.5,4,6,10,16,25,40
10,16,0.3,0.5,0.8,1.2,2,3,5,8,12,20,30,50
16,25,0.4,0.6,1,1.6,2.5,4,6,10,16,25,40,60
25,40,0.5,0.8,1.2,2,3,5,8,12,20,30,50,80
40,63,0.6,1,1.6,2.5,4,6,10,16,25,40,60,100
63,100,0.8,1.2,2,3,5,8,12,20,30,50,80,120
100,160,1,1.6,2.5,4,6,10,16,25,40,60,100,160
160,250,1.2,2,3,5,8,12,20,30,50,80,120,200
250,400,1.6,2.5,4,6,10,16,25,40,60,100,160,250
400,530,2,3,5,8,12,20,30,50,80,120,200,300
530,1000,2.5,4,6,10,16,25,40,60,100,160,250,400
1000,1600,3,5,8,12,20,30,50,80,120,200,300,500
1600,2500,4,6,10,16,25,40,60,100,160,250,400,600
2500,4000,5,8,12,20,30,50,80,120,200,300,500,800
4000,6300,6,10,16,25,40,60,100,160,250,400,600,1000
6300,10000,8,12,20,30,50,80,120,200,300,500,800,1200
