De la,Pana la,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
0,10,0.4,0.6,1,1.6,2.5,4,6,10,16,25,40,60
10,16,0.5,0.8,1.2,2,3,5,8,12,20,30,50,80
16,25,0.6,1,1.6,2.5,4,6,10,16,25,40,60,100
25,40,0.8,1.2,2,3,5,8,12,20,30,50,80,120
40,63,1,1.6,2.5,4,6,10,16,25,40,60,100,160
63,100,1.2,2,3,5,8,12,20,30,50,80,120,200
100,160,1.6,2.5,4,6,10,16,25,40,60,100,160,250
160,250,2,3,5,8,12,20,30,50,80,120,200,300
250,400,2.5,4,6,10,16,25,40,60,100,160,250,400
400,630,3,5,8,12,20,30,50,80,120,200,300,500
630,1000,4,6,10,16,25,40,60,100,160,250,400,600
1000,1600,5,8,12,20,30,50,80,120,200,300,500,800
1600,2500,6,10,16,25,40,60,100,160,250,400,600,1000
2500,4000,8,12,20,30,50,80,120,200,300,500,800,1200
4000,6300,10,16,25,40,60,100,160,250,400,600,1000,1600
6300,10000,12,20,30,50,80,120,200,300,500,800,1200,2000
